ASUS,"ASUS DUAL Radeon RX 6700 XT Standard Edition 12GB GDDR6 Gaming Graphics Card (AMD RDNA 2, PCIe 4.0, 12GB GDDR6 Memory, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 0dB Technology)",IN STOCK
ASUS,"ASUS TUF Gaming Radeon RX 6700 XT OC Edition Graphics Card (AMD RDNA 2, PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, All-aluminum Shroud, Reinforced Frame, GPU Tweak II)",IN STOCK
GIGABYTE,GIGABYTE Radeon RX 6900 XT DirectX 12 GV-R69XT-16GC-B 16GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,IN STOCK
GIGABYTE,"GIGABYTE AORUS Radeon RX 6800 XT MASTER TYPE C 16G Graphics Card, 16GB GDDR6 Memory, Powered by AMD RDNA 2, HDMI 2.1, USB Type-C, MAX-COVERED Cooling, GV-R68XTAORUS M-16GC",IN STOCK
GIGABYTE,"GIGABYTE AORUS Radeon RX 6800 MASTER 16G Graphics Card, MAX-COVERED Cooling, 16GB 256-bit GDDR6, GV-R68AORUS M-16GD Video Card",IN STOCK
MSI,MSI Radeon RX 6800 DirectX 12 Ultimate RX 6800 GAMING X TRIO 16G 16GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,IN STOCK
GIGABYTE,"GIGABYTE Radeon RX 6900 XT GAMING OC Video Card, GV-R69XTGAMING OC-16GD",IN STOCK
ASUS,ASUS TUF Gaming Radeon RX 6800 XT DirectX 12 Ultimate TUF-RX6800XT-O16G-GAMING 16GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,IN STOCK
ASUS,ASUS Dual GeForce RTX 3070 DirectX 12 DUAL-RTX3070-O8G 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,OUT OF STOCK
GIGABYTE,"GIGABYTE AORUS GeForce RTX 3090 XTREME WATERFORCE WB 24G Graphics Card, WATERFORCE Water Block Cooling System, 24GB 384-bit GDDR6X, GV-N3090AORUSX WB-24GD Video Card",OUT OF STOCK
